,Type, Floor, Area, Structure, Inarea, Architectural_type, Orientation, Building_structure, Situation, Ratio, Elevator, Years, Price, PerPrice, Region, No
136,3室2厅1厨1卫,低楼层 (共27层),101㎡,平层,暂无数据,板楼,北 南,钢混结构,毛坯,两梯四户,有,70年,96万,9505元/平米,城关区 碧桂园 ,
137,3室2厅1厨2卫,低楼层 (共14层),142㎡,平层,暂无数据,板楼,南 北,框架结构,毛坯,一梯三户,无,70年,284万,20000元/平米,城关区 北面滩 ,
138,2室1厅1厨1卫,中楼层 (共7层),55㎡,平层,暂无数据,板楼,南 北,砖混结构,简装,一梯两户,无,70年,85万,15455元/平米,城关区 火车站 ,
139,2室2厅1厨1卫,低楼层 (共11层),103.38㎡,平层,87.14㎡,板楼,西北,钢混结构,简装,一梯三户,有,70年,97万,9383元/平米,城关区 雁滩高新区 ,
140,3室2厅1厨2卫,高楼层 (共28层),157.97㎡,平层,暂无数据,板楼,西南,钢混结构,简装,一梯六户,无,70年,184万,11648元/平米,安宁区 费家营十子 ,
141,2室2厅1厨2卫,中楼层 (共33层),119.84㎡,平层,98.26㎡,板楼,东南,钢混结构,精装,两梯四户,有,70年,182万,15187元/平米,城关区 北面滩 ,
142,4室2厅1厨2卫,高楼层 (共10层),173.58㎡,平层,151.39㎡,板楼,北 南,框架结构,精装,一梯两户,无,70年,236万,13597元/平米,城关区 大润发 ,
143,3室2厅1厨2卫,低楼层 (共18层),157.18㎡,平层,150㎡,板楼,南 北,框架结构,简装,一梯四户,有,70年,178万,11325元/平米,城关区 北面滩 ,
144,3室2厅1厨2卫,中楼层 (共18层),117.38㎡,平层,97.74㎡,塔楼,南 北,钢混结构,简装,两梯四户,有,70年,164.8万,14040元/平米,安宁区 海关 ,
145,2室2厅1厨1卫,中楼层 (共17层),93㎡,平层,76.96㎡,板楼,南 北,钢结构,精装,一梯三户,有,70年,96万,10323元/平米,七里河区 龚家湾 ,
146,2室2厅1厨1卫,中楼层 (共10层),130.07㎡,平层,暂无数据,板塔结合,南 北,框架结构,简装,一梯三户,有,70年,154万,11840元/平米,城关区 东部 ,
147,3室2厅1厨2卫,低楼层 (共18层),122㎡,平层,暂无数据,板楼,南 北,框架结构,毛坯,两梯两户,有,70年,185万,15164元/平米,安宁区 海关 ,
148,3室2厅1厨2卫,低楼层 (共17层),122㎡,平层,暂无数据,板楼,南 北,框架结构,毛坯,两梯四户,有,70年,159万,13033元/平米,七里河区 仁恒美林郡 ,
