房屋户型	所在楼层	建筑面积	户型结构	套内面积	建筑类型	房屋朝向	建筑结构	装修情况	梯户比例	配备电梯	产权年限	房屋总价	每平米售价	房屋地区
2室2厅1厨1卫	中楼层 (共8层)	81.5㎡	平层	81.5㎡	板楼	东 西	框架结构	简装	一梯三户	无	70年	98万	12025元/平米	城关区 东部 	
2室2厅1厨1卫	高楼层 (共28层)	75.46㎡	平层	暂无数据	板楼	东 北	框架结构	简装	两梯八户	有	70年	161万	21336元/平米	城关区 五泉广场 	
3室0厅0厨0卫	低楼层 (共5层)	44.8㎡	平层	暂无数据	塔楼	西南	砖混结构	简装	一梯三户	无	70年	125万	27902元/平米	城关区 兰大盘旋路 	
2室2厅1厨1卫	低楼层 (共32层)	103㎡	平层	暂无数据	板楼	东南	钢混结构	精装	两梯六户	有	70年	168万	16311元/平米	七里河区 仁恒美林郡 	
2室1厅1厨1卫	高楼层 (共16层)	95.71㎡	平层	暂无数据	塔楼	东 西	钢混结构	简装	两梯八户	有	70年	126万	13165元/平米	安宁区 海关 	
1室1厅1厨1卫	高楼层 (共32层)	74.75㎡	平层	暂无数据	板楼	东南	框架结构	简装	一梯五户	无	70年	130万	17392元/平米	城关区 北面滩 	
3室2厅1厨1卫	中楼层 (共30层)	100㎡	平层	暂无数据	板楼	南 北	钢混结构	精装	两梯三户	有	70年	120万	12000元/平米	城关区 碧桂园 	
4室2厅1厨1卫	低楼层 (共18层)	148.35㎡	平层	暂无数据	板塔结合	南 北	钢混结构	精装	两梯两户	有	70年	143万	9640元/平米	城关区 碧桂园 	
3室2厅1厨1卫	低楼层 (共27层)	101㎡	平层	暂无数据	板楼	北 南	钢混结构	毛坯	两梯四户	有	70年	96万	9505元/平米	城关区 碧桂园 	
3室2厅1厨2卫	低楼层 (共14层)	142㎡	平层	暂无数据	板楼	南 北	框架结构	毛坯	一梯三户	无	70年	284万	20000元/平米	城关区 北面滩 	
2室2厅1厨1卫	低楼层 (共11层)	103.38㎡	平层	87.14㎡	板楼	西北	钢混结构	简装	一梯三户	有	70年	97万	9383元/平米	城关区 雁滩高新区 	
3室2厅1厨2卫	高楼层 (共28层)	157.97㎡	平层	暂无数据	板楼	西南	钢混结构	简装	一梯六户	无	70年	184万	11648元/平米	安宁区 费家营十子 	
2室2厅1厨2卫	中楼层 (共33层)	119.84㎡	平层	98.26㎡	板楼	东南	钢混结构	精装	两梯四户	有	70年	182万	15187元/平米	城关区 北面滩 	
4室2厅1厨2卫	高楼层 (共10层)	173.58㎡	平层	151.39㎡	板楼	北 南	框架结构	精装	一梯两户	无	70年	236万	13597元/平米	城关区 大润发 	
3室2厅1厨2卫	中楼层 (共18层)	117.38㎡	平层	97.74㎡	塔楼	南 北	钢混结构	简装	两梯四户	有	70年	164.8万	14040元/平米	安宁区 海关 	
2室2厅1厨1卫	中楼层 (共10层)	130.07㎡	平层	暂无数据	板塔结合	南 北	框架结构	简装	一梯三户	有	70年	154万	11840元/平米	城关区 东部 	
3室2厅1厨2卫	低楼层 (共18层)	122㎡	平层	暂无数据	板楼	南 北	框架结构	毛坯	两梯两户	有	70年	185万	15164元/平米	安宁区 海关 	
4室2厅1厨1卫	低楼层 (共10层)	168.76㎡	平层	暂无数据	板楼	南 北	框架结构	简装	一梯两户	无	70年	210万	12444元/平米	城关区 北面滩 	
3室2厅1厨2卫	低楼层 (共17层)	122㎡	平层	暂无数据	板楼	南 北	框架结构	毛坯	两梯四户	有	70年	159万	13033元/平米	七里河区 仁恒美林郡 	
3室2厅1厨1卫	高楼层 (共8层)	119.55㎡	平层	暂无数据	板楼	南 北	框架结构	简装	一梯两户	无	70年	145万	12129元/平米	城关区 二热 	
3室2厅1厨1卫	中楼层 (共11层)	149㎡	平层	暂无数据	板楼	南 北	框架结构	精装	一梯两户	有	70年	210万	14094元/平米	城关区 北面滩 	
2室2厅1厨1卫	中楼层 (共8层)	93㎡	平层	暂无数据	板楼	南 北	框架结构	简装	一梯三户	无	70年	95万	10216元/平米	城关区 大沙坪 	
4室2厅1厨2卫	低楼层 (共18层)	148.35㎡	平层	116.67㎡	板楼	南 北	钢混结构	其他	两梯两户	有	70年	148万	9977元/平米	城关区 碧桂园 	
